,Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G-TP,TP,TPint,TA,TR,Gls./90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Partidos,Temporada,Equipo
1333,Gareth Bale,wal WAL,"DL,CC",30,16,12,"1,089",12.1,2,2,2,0,0,4,1,0.17,0.17,0.33,0.17,0.33,3.5,3.5,1.2,4.7,0.29,0.10,0.39,0.29,0.39,Partidos,2019-2020,Real Madrid
1334,Rodrygo,br BRA,DL,18,19,12,"1,019",11.3,2,0,2,0,0,0,0,0.18,0.00,0.18,0.18,0.18,2.6,2.6,1.0,3.6,0.23,0.09,0.32,0.23,0.32,Partidos,2019-2020,Real Madrid
1335,Éder Militão,br BRA,DF,21,15,10,"1,022",11.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Partidos,2019-2020,Real Madrid
1336,Lucas Vázquez,es ESP,"CC,DL",28,18,8,848,9.4,2,1,2,0,0,1,0,0.21,0.11,0.32,0.21,0.32,1.2,1.2,1.5,2.7,0.13,0.16,0.29,0.13,0.29,Partidos,2019-2020,Real Madrid
1337,James Rodríguez,co COL,CC,28,8,5,419,4.7,1,1,1,0,0,1,0,0.21,0.21,0.43,0.21,0.43,0.9,0.9,1.8,2.7,0.19,0.39,0.58,0.19,0.58,Partidos,2019-2020,Real Madrid
1338,Nacho,es ESP,DF,29,6,4,439,4.9,1,0,1,0,0,3,0,0.21,0.00,0.21,0.21,0.21,0.3,0.3,0.3,0.5,0.05,0.05,0.11,0.05,0.11,Partidos,2019-2020,Real Madrid
1339,Luka Jović,rs SRB,DL,21,17,4,430,4.8,2,1,2,0,0,2,0,0.42,0.21,0.63,0.42,0.63,2.2,2.2,0.7,2.9,0.46,0.15,0.61,0.46,0.61,Partidos,2019-2020,Real Madrid
1340,Alphonse Areola,fr FRA,PO,26,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2019-2020,Real Madrid
1341,Álvaro Odriozola,es ESP,DF,23,4,4,343,3.8,0,1,0,0,0,3,1,0.00,0.26,0.26,0.00,0.26,0.2,0.2,0.8,1.0,0.06,0.20,0.26,0.06,0.26,Partidos,2019-2020,Real Madrid
1342,Marco Asensio,es ESP,DL,23,9,3,336,3.7,3,1,3,0,0,0,0,0.80,0.27,1.07,0.80,1.07,1.7,1.7,1.0,2.7,0.45,0.27,0.71,0.45,0.71,Partidos,2019-2020,Real Madrid
1343,Brahim Díaz,es ESP,"DL,CC",19,6,0,65,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.61,0.00,0.61,0.61,0.61,Partidos,2019-2020,Real Madrid
1344,Mariano,do DOM,DL,25,5,0,45,0.5,1,0,1,0,0,1,0,2.00,0.00,2.00,2.00,2.00,0.5,0.5,0.0,0.5,1.00,0.07,1.07,1.00,1.07,Partidos,2019-2020,Real Madrid
1345,Altube,es ESP,PO,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Real Madrid
1346,Miguel Gutiérrez,es ESP,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Real Madrid
1347,Javi,es ESP,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Real Madrid
1348,Luis López,es ESP,PO,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Real Madrid
1349,Keylor Navas,cr CRC,PO,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Real Madrid
1350,Marc-André ter Stegen,de GER,PO,27,36,36,"3,240",36.0,0,2,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.7,0.7,0.00,0.02,0.02,0.00,0.02,Partidos,2019-2020,Barcelona
1351,Gerard Piqué,es ESP,DF,32,35,35,"3,092",34.4,1,0,1,0,0,15,0,0.03,0.00,0.03,0.03,0.03,2.3,2.3,0.6,2.9,0.07,0.02,0.08,0.07,0.08,Partidos,2019-2020,Barcelona
1352,Lionel Messi,ar ARG,"DL,CC",32,33,32,"2,880",32.0,25,21,20,5,5,4,0,0.78,0.66,1.44,0.62,1.28,19.2,15.4,15.3,30.7,0.60,0.48,1.08,0.48,0.96,Partidos,2019-2020,Barcelona
1353,Antoine Griezmann,fr FRA,DL,28,35,31,"2,549",28.3,9,4,9,0,0,2,0,0.32,0.14,0.46,0.32,0.46,8.2,8.2,3.8,12.0,0.29,0.13,0.42,0.29,0.42,Partidos,2019-2020,Barcelona
1354,Sergio Busquets,es ESP,CC,31,33,29,"2,483",27.6,2,2,2,0,0,9,0,0.07,0.07,0.14,0.07,0.14,1.2,1.2,2.7,4.0,0.04,0.10,0.14,0.04,0.14,Partidos,2019-2020,Barcelona
1355,Clément Lenglet,fr FRA,DF,24,28,28,"2,424",26.9,2,1,2,0,0,11,2,0.07,0.04,0.11,0.07,0.11,0.9,0.9,0.5,1.4,0.03,0.02,0.05,0.03,0.05,Partidos,2019-2020,Barcelona
1356,Sergi Roberto,es ESP,"DF,CC",27,30,27,"2,339",26.0,1,2,1,0,0,8,0,0.04,0.08,0.12,0.04,0.12,0.8,0.8,2.4,3.2,0.03,0.09,0.12,0.03,0.12,Partidos,2019-2020,Barcelona
1357,Jordi Alba,es ESP,DF,30,27,25,"2,187",24.3,2,5,2,0,0,7,0,0.08,0.21,0.29,0.08,0.29,1.1,1.1,3.3,4.3,0.04,0.14,0.18,0.04,0.18,Partidos,2019-2020,Barcelona
1358,Frenkie de Jong,nl NED,CC,22,29,24,"2,115",23.5,2,2,2,0,0,3,1,0.09,0.09,0.17,0.09,0.17,1.0,1.0,2.3,3.4,0.04,0.10,0.14,0.04,0.14,Partidos,2019-2020,Barcelona
1359,Nélson Semedo,pt POR,DF,25,32,24,"2,097",23.3,1,2,1,0,0,2,0,0.04,0.09,0.13,0.04,0.13,1.0,1.0,2.1,3.1,0.04,0.09,0.13,0.04,0.13,Partidos,2019-2020,Barcelona
1360,Luis Suárez,uy URU,DL,32,28,22,"1,998",22.2,16,8,15,1,1,4,0,0.72,0.36,1.08,0.68,1.04,13.8,13.1,3.7,16.8,0.62,0.16,0.79,0.59,0.76,Partidos,2019-2020,Barcelona
1361,Arturo Vidal,cl CHI,CC,32,33,16,"1,671",18.6,8,2,8,0,0,4,0,0.43,0.11,0.54,0.43,0.54,4.3,4.3,2.9,7.2,0.23,0.16,0.39,0.23,0.39,Partidos,2019-2020,Barcelona
1362,Ivan Rakitić,hr CRO,CC,31,31,16,"1,589",17.7,1,3,1,0,0,5,0,0.06,0.17,0.23,0.06,0.23,2.1,2.1,1.4,3.5,0.12,0.08,0.20,0.12,0.20,Partidos,2019-2020,Barcelona
1363,Arthur Melo,br BRA,CC,22,21,14,"1,182",13.1,3,3,3,0,0,1,0,0.23,0.23,0.46,0.23,0.46,1.3,1.3,1.2,2.5,0.10,0.09,0.19,0.10,0.19,Partidos,2019-2020,Barcelona
1364,Ansu Fati,es ESP,"DL,DF",16,24,11,"1,027",11.4,7,1,7,0,0,2,1,0.61,0.09,0.70,0.61,0.70,3.7,3.7,1.8,5.4,0.32,0.16,0.48,0.32,0.48,Partidos,2019-2020,Barcelona
1365,Junior Firpo,es ESP,DF,22,17,11,"1,014",11.3,1,1,1,0,0,5,0,0.09,0.09,0.18,0.09,0.18,0.6,0.6,0.7,1.3,0.05,0.06,0.11,0.05,0.11,Partidos,2019-2020,Barcelona
1366,Samuel Umtiti,fr FRA,DF,25,13,10,949,10.5,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2019-2020,Barcelona
1367,Riqui Puig,es ESP,CC,19,11,5,510,5.7,0,2,0,0,0,1,0,0.00,0.35,0.35,0.00,0.35,0.6,0.6,1.6,2.2,0.10,0.29,0.39,0.10,0.39,Partidos,2019-2020,Barcelona
1368,Carles Pérez,es ESP,DL,21,10,5,476,5.3,1,2,1,0,0,0,0,0.19,0.38,0.57,0.19,0.57,0.9,0.9,0.3,1.2,0.16,0.06,0.22,0.16,0.22,Partidos,2019-2020,Barcelona
1369,Martin Braithwaite,dk DEN,"DL,CC",28,11,4,407,4.5,1,0,1,0,0,1,0,0.22,0.00,0.22,0.22,0.22,2.8,2.8,0.0,2.8,0.62,0.01,0.62,0.62,0.62,Partidos,2019-2020,Barcelona
1370,Ousmane Dembélé,fr FRA,DL,22,5,3,357,4.0,1,0,1,0,0,1,1,0.25,0.00,0.25,0.25,0.25,1.0,1.0,0.6,1.6,0.25,0.15,0.40,0.25,0.40,Partidos,2019-2020,Barcelona
1371,Ronald Araújo,uy URU,DF,20,6,2,238,2.6,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.09,0.00,0.09,0.09,0.09,Partidos,2019-2020,Barcelona
1372,Rafinha,br BRA,"DL,CC",26,3,2,186,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.18,0.15,0.34,0.18,0.34,Partidos,2019-2020,Barcelona
1373,Neto,br BRA,PO,30,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2019-2020,Barcelona
1374,Carles Aleñá,es ESP,CC,21,4,2,172,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Partidos,2019-2020,Barcelona
1375,Moussa Wagué,sn SEN,DF,20,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2019-2020,Barcelona
1376,Jean-Clair Todibo,fr FRA,DF,19,2,1,77,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2019-2020,Barcelona
1377,Álex Collado,es ESP,DF,20,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2019-2020,Barcelona
1378,Sergio Akieme,es ESP,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Barcelona
1379,Juan Brandáriz,es ESP,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Barcelona
1380,Arnau Comas,es ESP,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Barcelona
1381,Rey Manaj,al ALB,DL,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Barcelona
1382,Monchu,es ESP,CC,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Barcelona
1383,Dani Morer,es ESP,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Barcelona
1384,Jorge Orgaz,bo BOL,DF,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Barcelona
1385,Iñaki Peña ,es ESP,PO,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Barcelona
1386,Kike Saverio,es ESP,DL,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Barcelona
1387,Arnau Tenas,es ESP,PO,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Barcelona
1388,Jesús Navas,es ESP,DF,33,38,37,"3,369",37.4,0,7,0,0,0,4,0,0.00,0.19,0.19,0.00,0.19,0.2,0.2,6.4,6.6,0.01,0.17,0.18,0.01,0.18,Partidos,2019-2020,Sevilla
1389,Diego Carlos,br BRA,DF,26,35,35,"3,134",34.8,2,0,2,0,0,7,0,0.06,0.00,0.06,0.06,0.06,2.0,2.0,0.5,2.5,0.06,0.01,0.07,0.06,0.07,Partidos,2019-2020,Sevilla
1390,Tomáš Vaclík,cz CZE,PO,30,33,33,"2,925",32.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2019-2020,Sevilla
1391,Lucas Ocampos,ar ARG,DL,25,33,31,"2,745",30.5,14,3,9,5,5,10,1,0.46,0.10,0.56,0.30,0.39,10.6,6.8,2.4,9.2,0.35,0.08,0.43,0.22,0.30,Partidos,2019-2020,Sevilla
1392,Fernando,br BRA,CC,32,34,30,"2,659",29.5,2,3,2,0,0,13,0,0.07,0.10,0.17,0.07,0.17,2.1,2.1,0.6,2.7,0.07,0.02,0.09,0.07,0.09,Partidos,2019-2020,Sevilla
1393,Sergio Reguilón,es ESP,DF,22,31,29,"2,509",27.9,2,4,2,0,0,8,0,0.07,0.14,0.22,0.07,0.22,1.8,1.8,3.7,5.5,0.06,0.13,0.20,0.06,0.20,Partidos,2019-2020,Sevilla
1394,Éver Banega,ar ARG,CC,31,33,28,"2,475",27.5,3,7,1,2,2,10,0,0.11,0.25,0.36,0.04,0.29,3.0,1.5,5.1,6.6,0.11,0.19,0.29,0.05,0.24,Partidos,2019-2020,Sevilla
1395,Joan Jordán,es ESP,CC,25,34,27,"2,254",25.0,2,2,2,0,0,7,0,0.08,0.08,0.16,0.08,0.16,1.6,1.6,3.5,5.1,0.06,0.14,0.20,0.06,0.20,Partidos,2019-2020,Sevilla
1396,Jules Koundé,fr FRA,DF,20,29,25,"2,309",25.7,1,1,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,1.9,1.9,0.5,2.4,0.07,0.02,0.09,0.07,0.09,Partidos,2019-2020,Sevilla
1397,Luuk de Jong,nl NED,DL,28,35,24,"2,059",22.9,6,1,6,0,0,2,0,0.26,0.04,0.31,0.26,0.31,7.7,7.7,2.5,10.2,0.34,0.11,0.44,0.34,0.44,Partidos,2019-2020,Sevilla
1398,Óliver Torres,es ESP,"CC,DL",24,28,21,"1,596",17.7,3,3,3,0,0,5,0,0.17,0.17,0.34,0.17,0.34,1.6,1.6,2.1,3.7,0.09,0.12,0.21,0.09,0.21,Partidos,2019-2020,Sevilla
1399,Munir El Haddadi,ma MAR,DL,23,21,14,"1,250",13.9,5,2,5,0,0,1,0,0.36,0.14,0.50,0.36,0.50,3.1,3.1,1.4,4.5,0.22,0.10,0.33,0.22,0.33,Partidos,2019-2020,Sevilla
1400,Nolito,es ESP,DL,32,15,12,898,10.0,3,0,3,0,0,0,0,0.30,0.00,0.30,0.30,0.30,2.1,2.1,0.7,2.7,0.21,0.07,0.28,0.21,0.28,Partidos,2019-2020,Sevilla
1401,Franco Vázquez,ar ARG,"CC,DL",30,31,11,"1,098",12.2,3,0,3,0,0,5,0,0.25,0.00,0.25,0.25,0.25,1.4,1.4,0.4,1.7,0.11,0.03,0.14,0.11,0.14,Partidos,2019-2020,Sevilla
1402,Daniel Carriço,pt POR,DF,30,11,10,847,9.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.03,0.00,0.03,0.03,0.03,Partidos,2019-2020,Sevilla
1403,Nemanja Gudelj,rs SRB,"CC,DF",27,24,9,"1,216",13.5,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Partidos,2019-2020,Sevilla
1404,Suso,es ESP,"DL,CC",25,17,8,785,8.7,1,1,1,0,0,0,0,0.11,0.11,0.23,0.11,0.23,1.0,1.0,1.3,2.2,0.11,0.14,0.26,0.11,0.26,Partidos,2019-2020,Sevilla
1405,Sergio Escudero,es ESP,DF,29,11,8,773,8.6,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,0.8,0.8,0.5,1.3,0.09,0.06,0.15,0.09,0.15,Partidos,2019-2020,Sevilla
1406,Sergi Gómez,es ESP,DF,27,13,8,717,8.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Partidos,2019-2020,Sevilla
1407,Youssef En-Nesyri,ma MAR,DL,22,18,7,796,8.8,4,0,4,0,0,1,0,0.45,0.00,0.45,0.45,0.45,3.6,3.6,0.2,3.9,0.41,0.03,0.44,0.41,0.44,Partidos,2019-2020,Sevilla
1408,Yassine Bounou,ma MAR,PO,28,6,5,495,5.5,0,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.0,0.0,0.3,0.3,0.00,0.05,0.05,0.00,0.05,Partidos,2019-2020,Sevilla
1409,Javier Hernández,mx MEX,DL,31,9,4,448,5.0,1,0,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,2.5,2.5,0.3,2.8,0.50,0.06,0.56,0.50,0.56,Partidos,2019-2020,Sevilla
1410,Rony Lopes,pt POR,DL,23,5,2,134,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.09,0.00,0.09,0.09,0.09,Partidos,2019-2020,Sevilla
1411,Bryan,es ESP,DL,18,2,0,65,0.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2019-2020,Sevilla
1412,Alejandro Pozo Pozo,es ESP,"DL,CC",20,3,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2019-2020,Sevilla
1413,Moanes Dabour,il ISR,DL,27,2,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.47,0.00,0.47,0.47,0.47,Partidos,2019-2020,Sevilla
1414,José Alonso Lara,es ESP,CC,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Sevilla
1415,Javier Díaz,es ESP,PO,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Sevilla
1416,Juanlu,es ESP,DF,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Sevilla
1417,José Mena Rodríguez,es ESP,CC,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Sevilla
1418,Alfonso Pastor,es ESP,PO,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Sevilla
1419,Pablo Pérez,es ESP,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Sevilla
1420,Sergio Rico,es ESP,PO,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Sevilla
1421,Felipe Rodríguez Chacartegui,es ESP,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Sevilla
1422,Genaro Rodríguez Serrano,es ESP,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Sevilla
1423,Mikel Oyarzabal,es ESP,"DL,CC",22,37,36,"3,051",33.9,10,11,6,4,4,4,0,0.29,0.32,0.62,0.18,0.50,8.5,5.5,7.3,12.8,0.25,0.22,0.47,0.16,0.38,Partidos,2019-2020,Real Sociedad
1424,Mikel Merino,es ESP,CC,23,36,35,"3,139",34.9,5,1,5,0,0,9,0,0.14,0.03,0.17,0.14,0.17,2.8,2.8,2.1,4.9,0.08,0.06,0.14,0.08,0.14,Partidos,2019-2020,Real Sociedad
1425,Igor Zubeldia,es ESP,"CC,DF",22,33,29,"2,640",29.3,0,1,0,0,0,9,0,0.00,0.03,0.03,0.00,0.03,0.4,0.4,0.6,0.9,0.01,0.02,0.03,0.01,0.03,Partidos,2019-2020,Real Sociedad
1426,Joseba Zaldúa,es ESP,DF,27,30,29,"2,545",28.3,0,2,0,0,0,8,1,0.00,0.07,0.07,0.00,0.07,0.2,0.2,1.6,1.8,0.01,0.06,0.06,0.01,0.06,Partidos,2019-2020,Real Sociedad
1427,Martin Ødegaard,no NOR,CC,20,31,29,"2,527",28.1,4,6,4,0,0,3,0,0.14,0.21,0.36,0.14,0.36,3.2,3.2,5.1,8.4,0.11,0.18,0.30,0.11,0.30,Partidos,2019-2020,Real Sociedad
1428,Nacho Monreal,es ESP,DF,33,29,27,"2,390",26.6,2,0,2,0,0,3,0,0.08,0.00,0.08,0.08,0.08,2.3,2.3,1.1,3.4,0.08,0.04,0.13,0.08,0.13,Partidos,2019-2020,Real Sociedad
1429,Diego Llorente,es ESP,DF,25,29,27,"2,327",25.9,1,1,1,0,0,7,1,0.04,0.04,0.08,0.04,0.08,1.0,1.0,0.2,1.2,0.04,0.01,0.05,0.04,0.05,Partidos,2019-2020,Real Sociedad
1430,Robin Le Normand,fr FRA,DF,22,31,25,"2,394",26.6,1,0,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,0.9,0.9,0.3,1.2,0.03,0.01,0.04,0.03,0.04,Partidos,2019-2020,Real Sociedad
1431,Portu,es ESP,"DL,CC",27,35,25,"2,393",26.6,7,7,7,0,1,5,0,0.26,0.26,0.53,0.26,0.53,5.9,5.1,5.2,10.3,0.22,0.20,0.42,0.19,0.39,Partidos,2019-2020,Real Sociedad
1432,Álex Remiro,es ESP,PO,24,25,25,"2,250",25.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.01,0.00,0.01,Partidos,2019-2020,Real Sociedad
1433,Willian José,br BRA,DL,27,37,24,"2,011",22.3,11,1,11,0,0,4,0,0.49,0.04,0.54,0.49,0.54,10.4,10.4,1.7,12.1,0.47,0.08,0.54,0.47,0.54,Partidos,2019-2020,Real Sociedad
1434,Aritz Elustondo,es ESP,DF,25,22,17,"1,510",16.8,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.7,0.7,0.2,1.0,0.04,0.01,0.06,0.04,0.06,Partidos,2019-2020,Real Sociedad
1435,Alexander Isak,se SWE,DL,19,37,14,"1,507",16.7,9,1,9,0,0,3,0,0.54,0.06,0.60,0.54,0.60,6.3,6.3,2.2,8.5,0.38,0.13,0.51,0.38,0.51,Partidos,2019-2020,Real Sociedad
1436,Miguel Ángel Moyá,es ESP,PO,35,13,13,"1,170",13.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2019-2020,Real Sociedad
1437,Adnan Januzaj,be BEL,"DL,CC",24,24,13,"1,167",13.0,3,3,3,0,0,3,0,0.23,0.23,0.46,0.23,0.46,1.4,1.4,2.5,3.9,0.11,0.19,0.30,0.11,0.30,Partidos,2019-2020,Real Sociedad
1438,Aihen Muñoz,es ESP,DF,21,15,11,981,10.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2019-2020,Real Sociedad
1439,Ander Guevara,es ESP,CC,22,14,11,939,10.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.5,0.00,0.04,0.05,0.00,0.05,Partidos,2019-2020,Real Sociedad
1440,Andoni Gorosabel,es ESP,DF,22,14,8,714,7.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.05,0.05,0.00,0.05,Partidos,2019-2020,Real Sociedad
1441,Martín Zubimendi,es ESP,CC,20,9,6,524,5.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.01,0.03,0.04,0.01,0.04,Partidos,2019-2020,Real Sociedad
1442,Luca Sangalli,es ESP,CC,24,11,5,372,4.1,0,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,0.5,0.5,0.5,1.0,0.12,0.12,0.23,0.12,0.23,Partidos,2019-2020,Real Sociedad
1443,Ander Barrenetxea,es ESP,"DL,CC",17,17,3,442,4.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.5,1.3,0.16,0.10,0.26,0.16,0.26,Partidos,2019-2020,Real Sociedad
1444,Asier Illarramendi,es ESP,CC,29,3,3,216,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.08,0.08,0.01,0.08,Partidos,2019-2020,Real Sociedad
1445,David Zurutuza,es ESP,CC,33,5,2,157,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2019-2020,Real Sociedad
1446,Jon Pacheco,es ESP,DF,18,1,1,77,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2019-2020,Real Sociedad
1447,Roberto López,es ESP,CC,19,3,0,51,0.6,0,1,0,0,0,0,0,0.00,1.76,1.76,0.00,1.76,0.0,0.0,0.1,0.1,0.00,0.23,0.23,0.00,0.23,Partidos,2019-2020,Real Sociedad
1448,Naïs Djouahra,fr FRA,DL,19,2,0,29,0.3,0,1,0,0,0,0,0,0.00,3.10,3.10,0.00,3.10,0.1,0.1,0.2,0.3,0.25,0.56,0.80,0.25,0.80,Partidos,2019-2020,Real Sociedad
1449,Kévin Rodrigues,pt POR,DF,25,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2019-2020,Real Sociedad
1450,Aritz Arambarri,es ESP,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Real Sociedad
1451,Julen Lobete,es ESP,DL,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Real Sociedad
1452,Rubén Pardo,es ESP,CC,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Real Sociedad
1453,Modibo Sagnan,ml MLI,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Real Sociedad
1454,Andoni Zubiaurre,es ESP,PO,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2019-2020,Real Sociedad
1455,Sergio Canales,es ESP,"CC,DL",28,36,36,"3,163",35.1,6,6,3,3,4,5,0,0.17,0.17,0.34,0.09,0.26,7.0,4.0,5.7,9.7,0.20,0.16,0.36,0.11,0.28,Partidos,2019-2020,Real Betis
1456,Joel Robles,es ESP,PO,29,33,33,"2,887",32.1,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2019-2020,Real Betis
1457,Emerson,br BRA,DF,20,33,32,"2,839",31.5,3,6,3,0,0,11,0,0.10,0.19,0.29,0.10,0.29,1.2,1.2,4.1,5.3,0.04,0.13,0.17,0.04,0.17,Partidos,2019-2020,Real Betis
1458,Nabil Fekir,fr FRA,"CC,DL",26,32,31,"2,638",29.3,7,4,6,1,1,10,2,0.24,0.14,0.38,0.20,0.34,7.4,6.6,2.6,9.2,0.25,0.09,0.34,0.23,0.31,Partidos,2019-2020,Real Betis
